query,label,optimization_success,ues_bounds,optimization_time
"SELECT COUNT(*) FROM movie_info AS mi JOIN title AS t ON t.id = mi.movie_id AND t.production_year > 1990 AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') JOIN (SELECT mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id, k.id AS k_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi.movie_id",3c,True,"[{'join': [title AS t, movie_info AS mi], 'bound': 1140363}, {'join': [keyword AS k, movie_keyword AS mk, title AS t, movie_info AS mi], 'bound': 1112994288.0}]",0.006392
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '5.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2005 JOIN (SELECT mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id, k.id AS k_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4a,True,"[{'join': [title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 789155}, {'join': [keyword AS k, movie_keyword AS mk, title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 8475072.0}]",0.007314
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '9.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 2010 JOIN (SELECT mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id, k.id AS k_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4b,True,"[{'join': [title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 36469}, {'join': [keyword AS k, movie_keyword AS mk, title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 8475072.0}]",0.006881
"SELECT COUNT(*) FROM movie_info_idx AS mi_idx JOIN info_type AS it ON it.id = mi_idx.info_type_id AND it.info = 'rating' AND mi_idx.info > '2.0' JOIN title AS t ON t.id = mi_idx.movie_id AND t.production_year > 1990 JOIN (SELECT mk.movie_id AS mk_movie_id, mk.keyword_id AS mk_keyword_id, k.id AS k_id FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword LIKE '%sequel%') AS k_mk ON t.id = k_mk.mk_movie_id AND k_mk.mk_movie_id = mi_idx.movie_id",4c,True,"[{'join': [title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 789155}, {'join': [keyword AS k, movie_keyword AS mk, title AS t, info_type AS it, movie_info_idx AS mi_idx], 'bound': 8475072.0}]",0.006154
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note LIKE '%(theatrical)%' AND mc.note LIKE '%(France)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 2005 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German') JOIN info_type AS it ON it.id = mi.info_type_id",5a,True,"[{'join': [title AS t, company_type AS ct, movie_companies AS mc], 'bound': 4966}, {'join': [info_type AS it, movie_info AS mi, title AS t, company_type AS ct, movie_companies AS mc], 'bound': 14883102.000000002}]",0.006155
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note LIKE '%(VHS)%' AND mc.note LIKE '%(USA)%' AND mc.note LIKE '%(1994)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 2010 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('USA', 'America') JOIN info_type AS it ON it.id = mi.info_type_id",5b,True,"[{'join': [title AS t, company_type AS ct, movie_companies AS mc], 'bound': 49}, {'join': [info_type AS it, movie_info AS mi, title AS t, company_type AS ct, movie_companies AS mc], 'bound': 146853.0}]",0.006793
"SELECT COUNT(*) FROM movie_companies AS mc JOIN company_type AS ct ON ct.id = mc.company_type_id AND ct.kind = 'production companies' AND mc.note NOT LIKE '%(TV)%' AND mc.note LIKE '%(USA)%' JOIN title AS t ON t.id = mc.movie_id AND t.production_year > 1990 JOIN movie_info AS mi ON t.id = mi.movie_id AND mc.movie_id = mi.movie_id AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American') JOIN info_type AS it ON it.id = mi.info_type_id",5c,True,"[{'join': [title AS t, company_type AS ct, movie_companies AS mc], 'bound': 230803}, {'join': [info_type AS it, movie_info AS mi, title AS t, company_type AS ct, movie_companies AS mc], 'bound': 172194813.0}]",0.005871
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe' JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2010 JOIN (SELECT n.id AS n_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",6a,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 88282}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 153787244.0}]",0.005398
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2014 JOIN (SELECT n.id AS n_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",6b,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 706256}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 1230297952.0}]",0.004323
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe' JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2014 JOIN (SELECT n.id AS n_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",6c,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 88282}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 153787244.0}]",0.003836
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2000 JOIN (SELECT n.id AS n_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",6d,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 706256}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 1230297952.0}]",0.003842
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword = 'marvel-cinematic-universe' JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2000 JOIN (SELECT n.id AS n_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Downey%Robert%') AS ci_n ON t.id = ci_n.ci_movie_id AND ci_n.ci_movie_id = mk.movie_id",6e,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 88282}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 153787244.0}]",0.004148
"SELECT COUNT(*) FROM movie_keyword AS mk JOIN keyword AS k ON k.id = mk.keyword_id AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence') JOIN title AS t ON t.id = mk.movie_id AND t.production_year > 2000 JOIN cast_info AS ci ON t.id = ci.movie_id AND ci.movie_id = mk.movie_id JOIN name AS n ON n.id = ci.person_id",6f,True,"[{'join': [title AS t, keyword AS k, movie_keyword AS mk], 'bound': 706256}, {'join': [name AS n, cast_info AS ci, title AS t, keyword AS k, movie_keyword AS mk], 'bound': 1230297952.0}]",0.003089
"SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography' AND pi.note = 'Volker Boehm' JOIN name AS n ON n.id = pi.person_id AND n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'B%') JOIN aka_name AS an ON n.id = an.person_id AND pi.person_id = an.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = n.id AND pi.person_id = ci.person_id AND an.person_id = ci.person_id JOIN title AS t ON t.id = ci.movie_id AND t.production_year BETWEEN 1980 AND 1995 JOIN (SELECT lt.id AS lt_id, ml.link_type_id AS ml_link_type_id, ml.linked_movie_id AS ml_linked_movie_id FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link = 'features') AS lt_ml ON lt_ml.ml_linked_movie_id = t.id AND ci.movie_id = lt_ml.ml_linked_movie_id",7a,True,"[{'join': [name AS n, info_type AS it, person_info AS pi], 'bound': 6}, {'join': [aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 510.0}, {'join': [title AS t, cast_info AS ci, aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 7634190.0}, {'join': [link_type AS lt, movie_link AS ml, title AS t, cast_info AS ci, aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 1000078890.0}]",0.013041
"SELECT COUNT(*) FROM person_info AS pi JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography' AND pi.note = 'Volker Boehm' JOIN name AS n ON n.id = pi.person_id AND n.name_pcode_cf LIKE 'D%' AND n.gender = 'm' JOIN aka_name AS an ON n.id = an.person_id AND pi.person_id = an.person_id AND an.name LIKE '%a%' JOIN cast_info AS ci ON ci.person_id = n.id AND pi.person_id = ci.person_id AND an.person_id = ci.person_id JOIN title AS t ON t.id = ci.movie_id AND t.production_year BETWEEN 1980 AND 1984 JOIN (SELECT lt.id AS lt_id, ml.link_type_id AS ml_link_type_id, ml.linked_movie_id AS ml_linked_movie_id FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link = 'features') AS lt_ml ON lt_ml.ml_linked_movie_id = t.id AND ci.movie_id = lt_ml.ml_linked_movie_id",7b,True,"[{'join': [name AS n, info_type AS it, person_info AS pi], 'bound': 6}, {'join': [aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 510.0}, {'join': [title AS t, cast_info AS ci, aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 7634190.0}, {'join': [link_type AS lt, movie_link AS ml, title AS t, cast_info AS ci, aka_name AS an, name AS n, info_type AS it, person_info AS pi], 'bound': 1000078890.0}]",0.008529
"SELECT COUNT(*) FROM movie_link AS ml JOIN link_type AS lt ON lt.id = ml.link_type_id AND lt.link IN ('references', 'referenced in', 'features', 'featured in') JOIN title AS t ON ml.linked_movie_id = t.id AND t.production_year BETWEEN 1980 AND 2010 JOIN cast_info AS ci ON t.id = ci.movie_id AND ci.movie_id = ml.linked_movie_id JOIN name AS n ON ci.person_id = n.id AND n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender = 'm' OR n.gender = 'f' AND n.name LIKE 'A%') JOIN aka_name AS an ON n.id = an.person_id AND an.person_id = ci.person_id AND an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%') JOIN person_info AS pi ON n.id = pi.person_id AND pi.person_id = an.person_id AND pi.person_id = ci.person_id AND pi.note IS NOT NULL JOIN info_type AS it ON it.id = pi.info_type_id AND it.info = 'mini biography'",7c,True,"[{'join': [title AS t, link_type AS lt, movie_link AS ml], 'bound': 29997}, {'join': [name AS n, cast_info AS ci, title AS t, link_type AS lt, movie_link AS ml], 'bound': 52254774.0}, {'join': [aka_name AS an, name AS n, cast_info AS ci, title AS t, link_type AS lt, movie_link AS ml], 'bound': 4441655790.0}, {'join': [info_type AS it, person_info AS pi, aka_name AS an, name AS n, cast_info AS ci, title AS t, link_type AS lt, movie_link AS ml], 'bound': 24701185470.0}]",0.010566
SELECT COUNT(*) FROM movie_companies AS mc JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[jp]' AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' JOIN title AS t ON t.id = mc.movie_id JOIN cast_info AS ci ON ci.movie_id = t.id AND ci.movie_id = mc.movie_id AND ci.note = '(voice: English version)' JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN name AS n1 ON n1.id = ci.person_id AND n1.name LIKE '%Yo%' AND n1.name NOT LIKE '%Yu%' JOIN aka_name AS an1 ON an1.person_id = n1.id AND an1.person_id = ci.person_id,8a,True,"[{'join': [title AS t, company_name AS cn, movie_companies AS mc], 'bound': 32253}, {'join': [name AS n1, role_type AS rt, cast_info AS ci, title AS t, company_name AS cn, movie_companies AS mc], 'bound': 26885097.0}, {'join': [aka_name AS an1, name AS n1, role_type AS rt, cast_info AS ci, title AS t, company_name AS cn, movie_companies AS mc], 'bound': 2285233245.0}]",0.009788
SELECT COUNT(*) FROM movie_companies AS mc JOIN title AS t ON t.id = mc.movie_id AND t.production_year BETWEEN 2006 AND 2007 AND (t.title LIKE 'One Piece%' OR t.title LIKE 'Dragon Ball Z%') AND mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND (mc.note LIKE '%(2006)%' OR mc.note LIKE '%(2007)%') JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[jp]' JOIN cast_info AS ci ON ci.movie_id = t.id AND ci.movie_id = mc.movie_id AND ci.note = '(voice: English version)' JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN name AS n ON n.id = ci.person_id AND n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%' JOIN aka_name AS an ON an.person_id = n.id AND an.person_id = ci.person_id,8b,True,"[{'join': [company_name AS cn, title AS t, movie_companies AS mc], 'bound': 879}, {'join': [name AS n, role_type AS rt, cast_info AS ci, company_name AS cn, title AS t, movie_companies AS mc], 'bound': 1531218.0}, {'join': [aka_name AS an, name AS n, role_type AS rt, cast_info AS ci, company_name AS cn, title AS t, movie_companies AS mc], 'bound': 130153530.0}]",0.009957
"SELECT COUNT(*) FROM aka_name AS a1 JOIN name AS n1 ON a1.person_id = n1.id JOIN (SELECT rt.id AS rt_id, t.id AS t_id, ci.role_id AS ci_role_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'writer' JOIN title AS t ON ci.movie_id = t.id) AS ci_rt_t ON n1.id = ci_rt_t.ci_person_id AND a1.person_id = ci_rt_t.ci_person_id JOIN movie_companies AS mc ON ci_rt_t.t_id = mc.movie_id AND ci_rt_t.ci_movie_id = mc.movie_id JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[us]'",8c,True,"[{'join': [name AS n1, aka_name AS a1], 'bound': 1312273}, {'join': [title AS t, role_type AS rt, cast_info AS ci, name AS n1, aka_name AS a1], 'bound': 1741713920.0}, {'join': [company_name AS cn, movie_companies AS mc, title AS t, role_type AS rt, cast_info AS ci, name AS n1, aka_name AS a1], 'bound': 262998801920.0}]",0.004997
"SELECT COUNT(*) FROM aka_name AS an1 JOIN name AS n1 ON an1.person_id = n1.id JOIN (SELECT rt.id AS rt_id, t.id AS t_id, ci.role_id AS ci_role_id, ci.movie_id AS ci_movie_id, ci.person_id AS ci_person_id FROM cast_info AS ci JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'costume designer' JOIN title AS t ON ci.movie_id = t.id) AS ci_rt_t ON n1.id = ci_rt_t.ci_person_id AND an1.person_id = ci_rt_t.ci_person_id JOIN movie_companies AS mc ON ci_rt_t.t_id = mc.movie_id AND ci_rt_t.ci_movie_id = mc.movie_id JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[us]'",8d,True,"[{'join': [name AS n1, aka_name AS an1], 'bound': 1312273}, {'join': [title AS t, role_type AS rt, cast_info AS ci, name AS n1, aka_name AS an1], 'bound': 1741713920.0}, {'join': [company_name AS cn, movie_companies AS mc, title AS t, role_type AS rt, cast_info AS ci, name AS n1, aka_name AS an1], 'bound': 262998801920.0}]",0.004469
"SELECT COUNT(*) FROM aka_name AS an JOIN name AS n ON an.person_id = n.id AND n.gender = 'f' AND n.name LIKE '%Ang%' JOIN cast_info AS ci ON n.id = ci.person_id AND an.person_id = ci.person_id AND ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)') JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN title AS t ON ci.movie_id = t.id AND t.production_year BETWEEN 2005 AND 2015 JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN movie_companies AS mc ON t.id = mc.movie_id AND ci.movie_id = mc.movie_id AND mc.note IS NOT NULL AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%') JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[us]'",9a,True,"[{'join': [name AS n, aka_name AS an], 'bound': 362610}, {'join': [char_name AS chn, title AS t, role_type AS rt, cast_info AS ci, name AS n, aka_name AS an], 'bound': 132120854.99999999}, {'join': [company_name AS cn, movie_companies AS mc, char_name AS chn, title AS t, role_type AS rt, cast_info AS ci, name AS n, aka_name AS an], 'bound': 19950249105.0}]",0.009445
SELECT COUNT(*) FROM movie_companies AS mc JOIN company_name AS cn ON mc.company_id = cn.id AND cn.country_code = '[us]' AND mc.note LIKE '%(200%)%' AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%') JOIN title AS t ON t.id = mc.movie_id AND t.production_year BETWEEN 2007 AND 2010 JOIN cast_info AS ci ON ci.movie_id = t.id AND ci.movie_id = mc.movie_id AND ci.note = '(voice)' JOIN role_type AS rt ON ci.role_id = rt.id AND rt.role = 'actress' JOIN name AS n ON n.id = ci.person_id AND n.gender = 'f' AND n.name LIKE '%Angel%' JOIN char_name AS chn ON chn.id = ci.person_role_id JOIN aka_name AS an ON an.person_id = n.id AND an.person_id = ci.person_id,9b,True,"[{'join': [title AS t, company_name AS cn, movie_companies AS mc], 'bound': 97048}, {'join': [char_name AS chn, name AS n, role_type AS rt, cast_info AS ci, title AS t, company_name AS cn, movie_companies AS mc], 'bound': 169057616.0}, {'join': [aka_name AS an, char_name AS chn, name AS n, role_type AS rt, cast_info AS ci, title AS t, company_name AS cn, movie_companies AS mc], 'bound': 14369897360.0}]",0.009184
